Proteome_Id	accession	gtdb_genome_representative	present_in_tree	replacement_used	placement_status
UP000000625	RS_GCF_000005845.2	RS_GCF_003697165.2	no	RS_GCF_003697165.2	mapped_to_representative
UP000001570	RS_GCF_000009045.1	RS_GCF_000009045.1	yes	RS_GCF_000009045.1	original
UP000281647	RS_GCF_003934165.1	RS_GCF_003934165.1	yes	RS_GCF_003934165.1	original
UP000003511	GB_GCA_000234195.1	GB_GCA_001189335.2	no	GB_GCA_001189335.2	mapped_to_representative
UP000000416	RS_GCF_000007365.1	RS_GCF_000007365.1	yes	RS_GCF_000007365.1	original
UP000000504	RS_GCF_000219175.1	RS_GCF_000219175.1	yes	RS_GCF_000219175.1	original
UP000000562	GB_GCA_000008885.1	GB_GCA_000008885.1	yes	GB_GCA_000008885.1	original
UP000000579	GB_GCA_000027305.1	RS_GCF_001457655.1	no	RS_GCF_001457655.1	mapped_to_representative
UP000000601	RS_GCF_000007725.1	RS_GCF_000007725.1	yes	RS_GCF_000007725.1	original
UP000000669	RS_GCF_000090965.1	RS_GCF_000090965.1	yes	RS_GCF_000090965.1	original
UP000000807	RS_GCF_000027325.1	RS_GCF_000027325.1	yes	RS_GCF_000027325.1	original
UP000001095	RS_GCF_000336555.1	RS_GCF_000336555.1	yes	RS_GCF_000336555.1	original
UP000001218	RS_GCF_000307375.1	RS_GCF_025151045.1	no	RS_GCF_025151045.1	mapped_to_representative
UP000001584	RS_GCF_000195955.2	RS_GCF_000195955.2	yes	RS_GCF_000195955.2	original
UP000001806	RS_GCF_000009605.1	RS_GCF_000009605.1	yes	RS_GCF_000009605.1	original
UP000002192	GB_GCA_000043285.1	GB_GCA_000043285.1	yes	GB_GCA_000043285.1	original
UP000002427	RS_GCF_000013185.1	RS_GCF_000013185.1	yes	RS_GCF_000013185.1	original
UP000003019	RS_GCF_000226875.1	RS_GCF_000226875.1	yes	RS_GCF_000226875.1	original
UP000003597	RS_GCF_000241405.1	RS_GCF_028596125.1	no	RS_GCF_028596125.1	mapped_to_representative
UP000003937	RS_GCF_000287355.1	RS_GCF_000287355.1	yes	RS_GCF_000287355.1	original
UP000004263	RS_GCF_000153565.1	RS_GCF_012295615.1	no	RS_GCF_012295615.1	mapped_to_representative
UP000004290	RS_GCF_000146405.1	RS_GCF_004843545.1	no	RS_GCF_004843545.1	mapped_to_representative
UP000004754	RS_GCF_000185505.1	RS_GCF_000185505.1	yes	RS_GCF_000185505.1	original
UP000005149	RS_GCF_000298055.1	RS_GCF_000820305.1	no	RS_GCF_000820305.1	mapped_to_representative
