GCF_ID,Ku_IDs,LigD_IDs,Plasmid_IDs,Chromosome_IDs,Plasmid_number,Chromosome_number,Ku_plasmid_IDs,Ku_chromosome_IDs,Ku_absent_status,LigD_plasmid_IDs,LigD_chromosome_IDs,LigD_absent_status,NHEJ_status_verbose,NHEJ_status_ordinal,NCBI_Taxon_ID,Tax_ID2,Bacteria_name,Phylum_name,Phylum_subphylum_name,Genome_size,rRNA_copy_number,GC_content,Conv_non-conv_ligd_status
GCF_000466075.2_ASM46607v2,NA-Ku,"WP_002851175.1,lig:106-229",NC_022354.1,NC_022353.2,1,1,-,-,NA-Ku,-,WP_002851175.1,-,Lig-only,2,1383068,197,Campylobacter jejuni subsp. jejuni 00-2544 plasmid,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1719532,3,31,LigD-only-lig-no-pol
GCF_000520015.2_ASM52001v2,NA-Ku,NA-LigD,NA-plasmid,NZ_CP007044.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1441930,1639108,Chania multitudinisentens RB-25,Proteobacteria,Proteobacteria-Gammaproteobacteria,5488183,7,51,No-LigD-domains
GCF_000444995.1_ASM44499v1,NA-Ku,"WP_020952532.1,lig:221-458",NC_022042.1@NC_022049.1@NC_022043.1@NC_022044.1@NC_022050.1,NC_022041.1,5,1,-,-,NA-Ku,WP_020952532.1,-,-,Lig-only,2,1367847,34003,Paracoccus aminophilus JCM 7686 plasmid pAMI8,Proteobacteria,Proteobacteria-Alphaproteobacteria,3613807,4,63,LigD-only-lig-no-pol
GCF_001687745.1_ASM168774v1,WP_007610913.1:9-175,"WP_032874681.1,lig:10-225|pol:326-562",NA-plasmid,NZ_CP015911.1,0,1,-,WP_007610913.1,-,-,WP_032874681.1,-,Yes-NHEJ,3,492670,492670,Bacillus velezensis strain LS69,Firmicutes,Firmicutes-Bacilli,3917761,7,46,Yes-NHEJ-lig-pol-same_prot
GCF_000012765.1_ASM1276v1,NA-Ku,NA-LigD,NA-plasmid,NC_007633.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,340047,2095,Mycoplasma capricolum subsp. capricolum ATCC 27343,Tenericutes,Tenericutes-Mollicutes,1010023,2,24,No-LigD-domains
GCF_001045995.2_ASM104599v2,NA-Ku,NA-LigD,NZ_CP007677.1@NZ_CP007678.1@NZ_CP007679.1,NZ_CP007676.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1280,1280,Staphylococcus aureus strain HUV05 plasmid pHUV05-03,Firmicutes,Firmicutes-Bacilli,2842022,6,33,No-LigD-domains
GCF_001677475.1_ASM167747v1,NA-Ku,NA-LigD,NZ_CP012498.1,NZ_CP015229.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,562,562,Escherichia coli strain 06-00048 plasmid pCFSAN004178P_02,Proteobacteria,Proteobacteria-Gammaproteobacteria,5498453,7,51,No-LigD-domains
GCF_001704355.1_ASM170435v1,WP_033454509.1:10-195,"WP_068926112.1,pe:7-162|lig:203-507|pol:537-770",NA-plasmid,NZ_CP016431.1,0,1,-,WP_033454509.1,-,-,WP_068926112.1,-,Yes-NHEJ,3,518,518,Bordetella bronchiseptica strain I328,Proteobacteria,Proteobacteria-Betaproteobacteria,5077489,3,68,Yes-NHEJ-all-same-prot
GCF_000224575.1_ASM22457v1,NA-Ku,NA-LigD,NC_017380.1,NC_017376.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1055530,210,Helicobacter pylori SNT49 plasmid pHPSNT,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1607577,2,39,No-LigD-domains
GCF_000214805.1_ASM21480v1,NA-Ku,NA-LigD,NA-plasmid,NC_017573.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,768493,768493,Serratia sp. AS13,Proteobacteria,Proteobacteria-Gammaproteobacteria,5442549,7,56,No-LigD-domains
