From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Proteomes
A0A010STG3	A0A010STG3	unreviewed	A0A010STG3_PSEFL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	HK44_002530	Pseudomonas fluorescens HK44	287	UP000022611: Unassembled WGS sequence
A0A011PZ87	A0A011PZ87	unreviewed	A0A011PZ87_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA AW10_00730	Candidatus Accumulibacter appositus	298	UP000021816: Unassembled WGS sequence
A0A014N275	A0A014N275	unreviewed	A0A014N275_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BG55_22090	Erwinia mallotivora	487	UP000019918: Unassembled WGS sequence
A0A014QA57	A0A014QA57	unreviewed	A0A014QA57_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	AX13_01645	Comamonas aquatica DA1877	301	UP000020766: Unassembled WGS sequence
A0A016XG88	A0A016XG88	unreviewed	A0A016XG88_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	AZ34_07500	Hylemonella gracilis str. Niagara R	568	UP000023268: Unassembled WGS sequence
A0A017SWE9	A0A017SWE9	unreviewed	A0A017SWE9_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	CAP_8765	Chondromyces apiculatus DSM 436	541	UP000019678: Unassembled WGS sequence
A0A022L0K3	A0A022L0K3	unreviewed	A0A022L0K3_9MICO	AraC family transcriptional regulator	D641_0102270	Brachybacterium muris UCD-AY4	328	UP000019754: Unassembled WGS sequence
A0A023WSH2	A0A023WSH2	unreviewed	A0A023WSH2_STUST	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	UIB01_09080	Stutzerimonas stutzeri (Pseudomonas stutzeri)	297	UP000025238: Chromosome
A0A024H3X2	A0A024H3X2	unreviewed	A0A024H3X2_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA1 ARTSIC4J27_2690	Pseudarthrobacter siccitolerans	511	UP000035722: Unassembled WGS sequence
A0A024HFK1	A0A024HFK1	unreviewed	A0A024HFK1_PSEKB	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA PKB_1893	Pseudomonas knackmussii (strain DSM 6978 / CCUG 54928 / LMG 23759 / B13)	305	UP000025241: Chromosome
A0A024K274	A0A024K274	unreviewed	A0A024K274_9MYCO	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	AWC29_00215 BN973_04311	Mycobacterium triplex	495	UP000028880: Unassembled WGS sequence; UP000193710: Unassembled WGS sequence
A0A031FRH0	A0A031FRH0	unreviewed	A0A031FRH0_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BW34_02522	Microbacterium oleivorans	500	UP000024001: Unassembled WGS sequence
