Genome,Ku_IDs,LigD_IDs,Plasmid_IDs,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,NHEJ_status_verbose,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Architecture,genome_clean
GCF_000520015.2_ASM52001v2,NA-Ku,NA-LigD,NA-plasmid,NZ_CP007044.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1441930,1639108,Chania multitudinisentens RB-25,Proteobacteria,Proteobacteria-Gammaproteobacteria,5488183,7,51,No-LigD-domains,GCF_000520015
GCF_000444995.1_ASM44499v1,NA-Ku,"WP_020952532.1,lig:221-458",NC_022042.1@NC_022049.1@NC_022043.1@NC_022044.1@NC_022050.1,NC_022041.1,5,1,-,-,NA-Ku,WP_020952532.1,-,-,Lig-only,2,1367847,34003,Paracoccus aminophilus JCM 7686 plasmid pAMI8,Proteobacteria,Proteobacteria-Alphaproteobacteria,3613807,4,63,LigD-only-lig-no-pol,GCF_000444995
GCF_000014185.1_ASM1418v1,NA-Ku,NA-LigD,NA-plasmid,NC_008148.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,266117,49319,Rubrobacter xylanophilus DSM 9941,Actinobacteria,Actinobacteria-Rubrobacteria,3225748,1,70,No-LigD-domains,GCF_000014185
GCF_000764555.1_ASM76455v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009574.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1547445,1547445,Francisella sp. FSC1006,Proteobacteria,Proteobacteria-Gammaproteobacteria,2015987,3,32,No-LigD-domains,GCF_000764555
GCF_000756615.1_ASM75661v1,WP_042205493.1:9-192,"WP_042205491.1,pol:16-253;WP_042205492.1,lig:15-298",NZ_CP009289.1,NZ_CP009288.1,1,1,-,WP_042205493.1,-,-,WP_042205491.1;WP_042205492.1,-,Yes-NHEJ,3,44251,44251,Paenibacillus durus strain DSM 1735 plasmid,Firmicutes,Firmicutes-Bacilli,6038347,9,51,Yes-NHEJ-lig-pol-diff-prot,GCF_000756615
GCF_001308265.1_ASM130826v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP012023.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1397108,1397108,Celeribacter marinus strain IMCC 12053,Proteobacteria,Proteobacteria-Alphaproteobacteria,3096705,2,56,No-LigD-domains,GCF_001308265
GCF_000011705.1_ASM1170v1,NA-Ku,NA-LigD,NA-plasmid,NC_006348.1@NC_006349.2,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,243160,13373,Burkholderia mallei ATCC 23344 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,9345675,4,68,No-LigD-domains,GCF_000011705
GCF_000455605.1_GPTSA100-9,NA-Ku,NA-LigD,NA-plasmid,NC_017025.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1094466,312277,Flavobacterium indicum GPTSA100-9 complete genome,Bacteroidetes,Bacteroidetes-Flavobacteriia,2993089,4,31,No-LigD-domains,GCF_000455605
GCF_000014045.1_ASM1404v1,NA-Ku,"WP_011568052.1,lig:221-459",NC_008386.1@NC_008387.1@NC_008388.1@NC_008389.1,NC_008209.1,4,1,-,-,NA-Ku,-,WP_011568052.1,-,Lig-only,2,375451,2434,Roseobacter denitrificans OCh 114 plasmid pTB4,Proteobacteria,Proteobacteria-Alphaproteobacteria,4133097,1,59,LigD-only-lig-no-pol,GCF_000014045
GCF_001870205.1_ASM187020v1,NA-Ku,NA-LigD,NZ_CP017268.1,NZ_CP017267.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,519472,519472,Vagococcus teuberi strain DSM21459T plasmid pTB1 sequence,Firmicutes,Firmicutes-Bacilli,2169060,6,34,No-LigD-domains,GCF_001870205
