Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID
UP000000625	Escherichia coli (strain K12)	83333	4402	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%,n:440	Close to standard (low value)	GCA_000005845.2
UP000001570	Bacillus subtilis (strain 168)	224308	4288	C:99.3%[S:99.1%,D:0.2%],F:0.2%,M:0.4%,n:450	Standard	GCA_000009045.1
UP000281647	Borborobacter arsenicus	1851146	4868	C:100.0%[S:99.7%,D:0.3%],F:0.0%,M:0.0%,n:639	Outlier (low value)	GCA_003934165.1
UP000003511	Candidatus Paraburkholderia kirkii UZHbot1	1055526	2014	C:90.4%[S:90.3%,D:0.1%],F:0.7%,M:8.9%,n:688	Unknown	GCA_000234195.1
UP000000416	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	198804	562	C:83.4%[S:83.2%,D:0.2%],F:1.6%,M:15.0%,n:440	Outlier (low value)	GCA_000007365.1
UP000000504	Moranella endobia (strain PCIT)	903503	405	C:66.1%[S:65.7%,D:0.5%],F:0.7%,M:33.2%,n:440	Unknown	GCA_000219175.1
UP000000562	Wigglesworthia glossinidia brevipalpis	36870	617	C:78.0%[S:77.7%,D:0.2%],F:1.4%,M:20.7%,n:440	Outlier (low value)	GCA_000008885.1
UP000000579	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	1703	C:94.2%[S:93.6%,D:0.5%],F:0.9%,M:4.9%,n:1100	Standard	GCA_000027305.1
UP000000601	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	224915	507	C:81.8%[S:81.6%,D:0.2%],F:0.7%,M:17.5%,n:440	Unknown	GCA_000007725.1
UP000000669	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	372461	362	C:61.8%[S:61.8%,D:0.0%],F:1.6%,M:36.6%,n:440	Unknown	GCA_000090965.1
UP000000807	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	243273	483	C:98.0%[S:98.0%,D:0.0%],F:0.7%,M:1.3%,n:150	Outlier (low value)	GCA_000027325.1
UP000001095	Afipia clevelandensis ATCC 49720	883079	4205	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%,n:639	Unknown	GCA_000336555.1
UP000001218	Parabacteroides johnsonii CL02T12C29	999419	3736	C:99.8%[S:99.4%,D:0.4%],F:0.0%,M:0.2%,n:541	Unknown	GCA_000307375.1
UP000001584	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332	3996	C:99.1%[S:98.5%,D:0.5%],F:0.4%,M:0.5%,n:743	Close to standard (low value)	GCA_000195955.2
UP000001806	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	107806	572	C:86.1%[S:85.9%,D:0.2%],F:1.1%,M:12.7%,n:440	Outlier (low value)	GCA_000009605.1
UP000002192	Blochmanniella floridana	203907	583	C:85.0%[S:84.8%,D:0.2%],F:1.4%,M:13.6%,n:440	Outlier (low value)	GCA_000043285.1
UP000002427	Baumannia cicadellinicola subsp. Homalodisca coagulata	374463	595	C:74.3%[S:74.3%,D:0.0%],F:0.8%,M:24.9%,n:366	Unknown	GCA_000013185.1
UP000003019	Neisseria shayeganii 871	1032488	2530	C:97.9%[S:97.9%,D:0.0%],F:0.2%,M:1.9%,n:804	Outlier (high value)	GCA_000226875.1
UP000003597	Listeria innocua ATCC 33091	1002366	2938	C:96.0%[S:95.6%,D:0.4%],F:0.4%,M:3.6%,n:450	Unknown	GCA_000241405.1
UP000003937	secondary endosymbiont of Heteropsylla cubana	134287	576	C:78.4%[S:78.2%,D:0.2%],F:1.8%,M:19.8%,n:440	Unknown	GCA_000287355.1
UP000004263	Bermanella marisrubri	207949	3303	C:97.1%[S:96.8%,D:0.3%],F:0.6%,M:2.3%,n:619	Unknown	GCA_000153565.1
UP000004290	Streptococcus equinus ATCC 700338	864569	2088	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:402	Unknown	GCA_000146405.1
UP000004754	Pseudoramibacter alactolyticus ATCC 23263	887929	2514	C:97.3%[S:97.0%,D:0.4%],F:0.8%,M:1.9%,n:264	Unknown	GCA_000185505.1
UP000005149	Aeromonas dhakensis	196024	4447	C:99.7%[S:99.2%,D:0.5%],F:0.3%,M:0.0%,n:366	Unknown	GCA_000298055.1
UP000005178	Anaerofustis stercorihominis DSM 17244	445971	2331	C:96.2%[S:96.2%,D:0.0%],F:1.5%,M:2.3%,n:264	Unknown	GCA_000154825.1
UP000005336	Neisseria wadsworthii 9715	1030841	2553	C:99.1%[S:99.1%,D:0.0%],F:0.2%,M:0.6%,n:804	Unknown	GCA_000227765.1
UP000005481	Anaeroglobus geminatus F0357	861450	2148	C:82.6%[S:82.6%,D:0.0%],F:9.2%,M:8.3%,n:218	Close to standard (high value)	GCA_000239275.1
UP000006085	Bergeyella zoohelcum ATCC 43767	883096	2120	C:98.0%[S:97.8%,D:0.1%],F:0.1%,M:1.9%,n:733	Unknown	GCA_000301075.1
UP000006163	Borreliella valaisiana VS116	445987	1349	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:345	Close to standard (high value)	GCA_000170955.2
UP000006811	Buchnera aphidicola (Cinara tujafilina)	261317	359	C:60.5%[S:60.5%,D:0.0%],F:3.6%,M:35.9%,n:440	Unknown	GCA_000217635.1
UP000007464	Blochmanniella vafra (strain BVAF)	859654	587	C:86.4%[S:86.4%,D:0.0%],F:0.7%,M:13.0%,n:440	Unknown	GCA_000185985.2
UP000007794	Blochmanniella pennsylvanica (strain BPEN)	291272	610	C:88.2%[S:88.2%,D:0.0%],F:1.4%,M:10.5%,n:440	Unknown	GCA_000011745.1
UP000009061	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	1142511	618	C:79.1%[S:78.9%,D:0.2%],F:1.4%,M:19.5%,n:440	Outlier (low value)	GCA_000247565.1
UP000009874	Massilia timonae CCUG 45783	883126	5096	C:99.3%[S:98.4%,D:0.9%],F:0.1%,M:0.6%,n:688	Unknown	GCA_000315425.1
UP000009875	Alloiococcus otitis ATCC 51267	883081	1627	C:96.3%[S:96.0%,D:0.2%],F:1.0%,M:2.7%,n:402	Unknown	GCA_000315445.1
UP000009887	Sphingobium yanoikuyae ATCC 51230	883163	5028	C:99.8%[S:99.1%,D:0.7%],F:0.1%,M:0.1%,n:1018	Unknown	GCA_000315525.1
UP000011541	Candidatus Kinetoplastidibacterium stringomonadis TCC290E	1208920	693	C:79.1%[S:78.9%,D:0.2%],F:0.5%,M:20.4%,n:569	Unknown	GCA_000340865.1
UP000011658	Candidatus Kinetoplastidibacterium galati TCC219	1208921	727	C:81.7%[S:81.5%,D:0.2%],F:0.7%,M:17.6%,n:569	Unknown	GCA_000340905.1
UP000011686	Candidatus Kinetoplastidibacterium crithidiae TCC036E	1208918	728	C:79.6%[S:79.6%,D:0.0%],F:1.2%,M:19.2%,n:569	Unknown	GCA_000340825.1
UP000011704	Nitrospina gracilis (strain 3/211)	1266370	2962	C:91.1%[S:90.3%,D:0.8%],F:4.8%,M:4.0%,n:124	Unknown	GCA_000341545.2
UP000013167	Phycicoccus elongatus Lp2	1193181	3089	C:94.4%[S:94.0%,D:0.4%],F:1.9%,M:3.7%,n:537	Unknown	GCA_000367525.2
UP000013981	Butyricicoccus pullicaecorum 1.2	1203606	3107	C:98.9%[S:98.5%,D:0.4%],F:0.0%,M:1.1%,n:264	Unknown	GCA_000398925.1
UP000014923	Thermobrachium celere DSM 8682	941824	2370	C:99.6%[S:99.2%,D:0.4%],F:0.0%,M:0.4%,n:264	Unknown	GCA_000430995.1
UP000015462	Cycloclasticus pugetii	34068	2264	C:94.5%[S:94.3%,D:0.2%],F:0.4%,M:5.1%,n:491	Unknown	GCA_000444935.1
UP000016023	Prevotella micans F0438	883158	2058	C:99.3%[S:99.3%,D:0.0%],F:0.0%,M:0.7%,n:541	Unknown	GCA_000243035.1
UP000016201	Acinetobacter tandoii DSM 14970 = CIP 107469	1120927	3867	C:99.2%[S:97.5%,D:1.6%],F:0.0%,M:0.8%,n:366	Unknown	GCA_000400735.1
UP000016900	Candidatus Pantoea carbekii	1235990	825	C:93.0%[S:92.7%,D:0.2%],F:1.8%,M:5.2%,n:440	Unknown	GCA_000478905.1
UP000017813	Simonsiella muelleri ATCC 29453	641147	2220	C:97.3%[S:97.3%,D:0.0%],F:0.2%,M:2.5%,n:804	Unknown	GCA_000163775.2
UP000018554	Eikenella corrodens CC92I	1073362	2065	C:95.1%[S:95.0%,D:0.1%],F:0.1%,M:4.7%,n:804	Standard	GCA_000504685.1
UP000018733	Advenella kashmirensis W13003	1424334	4504	C:98.5%[S:98.1%,D:0.4%],F:0.4%,M:1.0%,n:688	Unknown	GCA_000506985.1
UP000023067	Brachybacterium phenoliresistens	396014	3605	C:96.5%[S:95.7%,D:0.7%],F:0.4%,M:3.2%,n:537	Unknown	GCA_000576425.1
UP000025947	Mycobacterium [tuberculosis] TKK-01-0051	1324261	5608	C:99.3%[S:98.8%,D:0.5%],F:0.3%,M:0.4%,n:743	Unknown	GCA_000661085.1
UP000028500	Xenorhabdus bovienii str. kraussei Quebec	1398203	3959	C:99.3%[S:99.1%,D:0.2%],F:0.5%,M:0.2%,n:440	Unknown	GCA_000736555.1
UP000029708	Oleiagrimonas soli	1543381	2676	C:93.8%[S:93.7%,D:0.1%],F:0.5%,M:5.7%,n:1152	Unknown	GCA_000761445.1
UP000031627	Candidatus Tachikawaea gelatinosa	1410383	613	C:87.7%[S:87.5%,D:0.2%],F:1.4%,M:10.9%,n:440	Outlier (low value)	GCA_000828815.1
UP000032420	Candidatus Johnevansia muelleri	1495769	330	C:31.2%[S:31.2%,D:0.0%],F:0.6%,M:68.2%,n:619	Unknown	GCA_000953435.1
UP000033558	Bombilactobacillus mellifer	1218492	1592	C:99.3%[S:99.0%,D:0.2%],F:0.0%,M:0.7%,n:402	Unknown	GCA_000970795.1
UP000033567	Bifidobacterium mellis	1293823	1578	C:94.9%[S:94.9%,D:0.0%],F:0.3%,M:4.8%,n:292	Unknown	GCA_000967265.1
UP000033612	Lactobacillus kimbladii	1218506	1890	C:99.0%[S:98.3%,D:0.7%],F:0.2%,M:0.7%,n:402	Unknown	GCA_000970755.1
UP000033682	Lactobacillus apis	303541	1508	C:98.8%[S:98.3%,D:0.5%],F:0.7%,M:0.5%,n:402	Unknown	GCA_000970735.1
UP000033695	Bombilactobacillus mellis	1218508	1572	C:98.8%[S:98.5%,D:0.2%],F:0.5%,M:0.7%,n:402	Unknown	GCA_000967245.1
UP000037600	Catenovulum maritimum	1513271	3470	C:97.7%[S:97.3%,D:0.4%],F:0.0%,M:2.3%,n:820	Unknown	GCA_001050375.1
UP000051634	endosymbiont of Ridgeia piscesae	54398	3132	C:98.9%[S:98.9%,D:0.0%],F:0.0%,M:1.1%,n:366	Unknown	GCA_001443665.1
UP000052258	Listeria fleischmannii 1991	1430899	2715	C:95.8%[S:95.3%,D:0.4%],F:0.4%,M:3.8%,n:450	Unknown	GCA_001050295.1
UP000053380	Saccharibacillus sacchari DSM 19268	915437	299	C:12.7%[S:12.7%,D:0.0%],F:0.2%,M:87.1%,n:450	Unknown	GCA_000585395.1
UP000053750	Paenibacillus darwinianus	1380763	2778	C:84.4%[S:84.0%,D:0.4%],F:3.3%,M:12.2%,n:450	Unknown	GCA_000598085.1
UP000053947	Dehalogenimonas alkenigignens	1217799	1927	C:98.5%[S:97.4%,D:1.1%],F:0.7%,M:0.7%,n:271	Unknown	GCA_001466665.1
UP000056466	Candidatus Palibaumannia cicadellinicola	186490	550	C:70.5%[S:70.5%,D:0.0%],F:0.3%,M:29.2%,n:366	Unknown	GCA_001269425.1
UP000058012	Novosphingobium fuchskuhlense	1117702	3491	C:97.9%[S:97.8%,D:0.1%],F:0.1%,M:2.0%,n:1018	Unknown	GCA_001519075.1
UP000061704	Candidatus Ishikawaella capsulata Mpkobe	476281	623	C:84.1%[S:83.9%,D:0.2%],F:0.7%,M:15.2%,n:440	Unknown	GCA_000828515.1
UP000069926	Candidatus Arsenophonus lipoptenae	634113	625	C:83.9%[S:83.6%,D:0.2%],F:1.1%,M:15.0%,n:440	Unknown	GCA_001534665.1
UP000070080	Amygdalobacter nucleatus	3029274	1471	C:82.6%[S:82.6%,D:0.0%],F:2.7%,M:14.8%,n:264	Unknown	GCA_001552885.1
UP000070160	Megasphaera hutchinsoni	1588748	1514	C:95.9%[S:95.4%,D:0.5%],F:0.5%,M:3.7%,n:218	Unknown	GCA_001553405.1
UP000070383	Anaerococcus tetradius	33036	1934	C:99.3%[S:99.3%,D:0.0%],F:0.2%,M:0.5%,n:433	Unknown	GCA_001546165.1
UP000070442	Aedoeadaptatus coxii	755172	1860	C:95.2%[S:95.2%,D:0.0%],F:1.2%,M:3.7%,n:433	Close to standard (high value)	GCA_001553115.1
UP000070498	Agrobacterium bohemicum	2052828	4304	C:97.3%[S:97.1%,D:0.2%],F:0.1%,M:2.7%,n:1937	Unknown	GCA_001562555.1
UP000070617	Fusobacterium equinum	134605	1852	C:98.4%[S:98.4%,D:0.0%],F:0.0%,M:1.6%,n:510	Unknown	GCA_001546395.1
UP000070675	Atopobium deltae	1393034	1442	C:94.7%[S:94.5%,D:0.2%],F:1.3%,M:4.0%,n:548	Unknown	GCA_001552785.1
UP000074382	Thermobifida cellulosilytica TB100	665004	3586	C:91.1%[S:90.9%,D:0.3%],F:0.9%,M:8.0%,n:1162	Unknown	GCA_001517975.1
UP000077654	Buchnera aphidicola subsp. Schlechtendalia chinensis	118110	499	C:79.5%[S:79.3%,D:0.2%],F:0.9%,M:19.5%,n:440	Unknown	GCA_001648115.1
UP000092809	secondary endosymbiont of Trabutina mannipara	1835721	237	C:42.3%[S:42.0%,D:0.2%],F:0.2%,M:57.5%,n:440	Unknown	GCA_900090215.1
UP000095477	Candidatus Hoaglandella endobia	1778263	517	C:73.9%[S:73.6%,D:0.2%],F:0.9%,M:25.2%,n:440	Unknown	GCA_900044015.1
UP000095665	Candidatus Gullanella endobia	1070130	460	C:69.3%[S:69.1%,D:0.2%],F:0.2%,M:30.5%,n:440	Unknown	GCA_900048035.1
